likelihood,
5642.019575946614,
8418.132305948528,
10054.018774017215,
11252.717766950407,
12205.802209379088,
12998.804678085899,
13678.43561083544,
14273.380966501656,
14802.674837650453,
15279.660970419818,
15714.085138510045,
16113.290594463457,
16482.942326107303,
16827.48741327278,
17150.461426647536,
17454.70269723969,
17742.509823010998,
18015.762086660678,
18276.013273336863,
18524.564628953147,
18762.520754547746,
18990.831648750653,
19210.323895336922,
19421.7236944485,
19625.673986064645,
19822.747402078865,
20013.456306863645,
20198.260799000658,
20377.57526010791,
20551.773837788027,
20721.195117979183,
20886.146157452622,
21046.90599402575,
21203.728718891223,
21356.846174670547,
21506.470329500742,
21652.795368612824,
21795.99953862933,
21936.246775117994,
22073.68814016183,
22208.463093509905,
22340.700618065635,
22470.5202179575,
22598.0328051753,
22723.341488725982,
22846.542278436355,
22967.724713923642,
23086.972427828667,
23204.363651175816,
23319.9716676498,
23433.865222666704,
23546.10889233415,
23656.76341673484,
23765.886001405033,
23873.530590404618,
23979.748113978323,
24084.586713453493,
24188.09194573524,
24290.306969496065,
24391.272714933533,
24491.02803877572,
24589.609866025745,
24687.053319789742,
24783.391840376353,
24878.65729473411,
24972.880077166134,
25066.08920216105,
25158.312390079973,
25249.57614634919,
25339.90583473937,
25429.325745235798,
25517.859156952007,
25605.528396481583,
25692.354892045183,
25778.359223748386,
25863.56117023278,
25947.97975198255,
26031.63327152379,
26114.539350728977,
26196.714965440908,
26278.176477597637,
26358.939665046964,
26439.019749220184,
26518.431420830064,
26597.188863752224,
26675.305777243582,
26752.795396637226,
26829.67051266117,
26905.943489506164,
26981.626281772013,
27056.73045041032,
27131.26717777216,
27205.247281864624,
27278.681229907666,
27351.579151280723,
27423.950849926296,
27495.80581628694,
27567.15323882332,
27638.002015170863,
27708.360762965698,
27778.23783038079,
27847.641306389494,
27916.579030775894,
27985.058603905996,
28053.087396260828,
28120.672557737897,
28187.82102671394,
28254.53953886914,
28320.834635761097,
28386.71267314393,
28452.179829022727,
28517.24211143454,
28581.905365948078,
28646.17528287449,
28710.057404185703,
28773.557130132616,
28836.67972556444,
28899.430325945086,
28961.813943071105,
29023.835470490598,
29085.499688629978,
29146.811269635095,
29207.774781931927,
29268.394694516872,
29328.675380986806,
29388.621123319408,
29448.236115413245,
29507.524466402065,
29566.490203753154,
29625.13727616275,
29683.469556260447,
29741.49084313661,
29799.204864701125,
29856.61527988769,
29913.72568071523,
29970.539594214428,
30027.060484233367,
30083.291753129583,
30139.23674335762,
30194.89873896356,
30250.280966992632,
30305.386598815243,
30360.218751385626,
30414.78048843184,
30469.07482158746,
30523.10471147182,
30576.873068718916,
30630.38275496503,
30683.636583796233,
30736.63732166095,
30789.38768875142,
30841.89035985458,
30894.147965180284,
30946.16309116519,
30997.938281255163,
31049.476036671884,
31100.77881716058,
31151.84904172396,
31202.689089342563,
31253.301299683688,
31303.68797379793,
31353.851374806964,
31403.793728582586,
31453.517224415322,
31503.024015678195,
31552.31622047991,
31601.3959223143,
31650.265170700597,
31698.92598181926,
31747.380339140418,
31795.630194047346,
31843.6774664524,
31891.524045408554,
31939.17178971389,
31986.622528510612,
32033.878061877982,
32080.940161417046,
32127.810570832466,
32174.491006504017,
32220.98315805368,
32267.288688903973,
32313.409236831165,
32359.346414509386,
32405.101810047217,
32450.67698751666,
32496.073487475962,
32541.292827479956,
32586.33650258623,
32631.20598585077,
32675.902728814817,
32720.42816198369,
32764.783695295624,
32808.9707185818,
32852.99060201818,
32896.84469656664,
32940.53433440711,
32984.06082936059,
33027.425477302764,
33070.62955656757,
33113.67432834198,
